word,tsne_2d_x,tsne_2d_y,tsne_3d_x,tsne_3d_y,tsne_3d_z,pca_2d_x,pca_2d_y
questions,-1.8961779,11.05189,-31.255444,0.83422464,26.753277,-0.068197615,-0.06476234
{sql_query},-14.906829,6.5408382,-46.22637,7.9496045,-49.810257,0.25533038,-0.14374521
insufficient.,3.7208989,14.997637,81.992424,-19.605616,0.8278465,0.10240419,0.09777135
are:,-9.094865,-0.4193814,-28.808727,56.35226,-19.301733,0.07496963,0.124303885
`explanation`,-12.073534,9.523186,-47.56954,-29.257559,-29.08113,0.22982539,-0.12013966
generate,16.106306,0.7630543,-9.522443,-30.198095,73.629166,-0.06260144,-0.06249509
multiple,8.162025,-1.3282319,35.200676,-44.49575,18.184399,-0.13087974,-0.0059852833
{explanation},-9.099598,8.170392,-40.589294,11.441907,-21.652554,0.2224987,0.0036684559
]],-9.381803,3.321282,-11.839977,27.968878,-29.904066,0.11799968,0.062108282
"provided,",9.53461,-9.066265,49.27758,4.0197616,-24.371553,0.030447025,0.094299324
whether,-2.3164482,-9.707068,-3.937658,36.89351,48.83773,-0.04336643,0.043164525
based,4.694933,-5.7395797,32.758587,68.87966,4.3511815,-0.028263845,0.016645985
columns.,14.978825,-13.880199,-61.205257,-3.2510726,52.242638,0.12936698,0.043407544
all,7.21621,-1.9873354,28.26178,-40.543087,4.5077553,-0.17859524,0.022606757
clarification_questions,-10.108334,11.25277,-68.86341,-3.9610417,-29.925978,0.13704659,-0.057787366
strictly.,4.89765,-15.936186,-68.36405,26.21866,16.916002,0.11105544,0.11428217
false,0.7563261,-10.85878,32.78684,-64.4385,-9.115616,-0.14667249,-0.0916776
adhering,16.841854,-4.2372093,25.767988,-70.64845,30.827168,-0.034991484,0.065331586
'q:,-14.403852,-0.49131018,-25.63941,41.343903,-64.598206,0.15055083,-0.03230395
is:,-9.722084,-0.7801153,-25.785883,56.797832,-32.568115,0.08424426,0.09350964
definition,-4.578076,-6.9732227,30.957083,29.359104,19.789293,-0.024469517,0.036801673
case,3.1326606,2.1370943,-6.6625495,-41.96109,27.014544,-0.1106294,-0.0593463
boolean,-0.7357729,-12.610693,56.043903,-61.773357,-19.365868,-0.08726917,-0.035369713
indicating,-0.5556843,2.5802925,30.70352,18.878805,-15.035863,-0.012693787,0.08381646
previous,4.27158,-12.12876,14.517954,-23.802156,-1.7108516,-0.13157226,0.016777162
current,3.9470406,-10.925487,8.484828,-36.28557,6.2157454,-0.12779014,-0.030769795
following,4.5702767,4.3791156,15.094162,-39.1103,35.82811,-0.030671455,0.005219897
fabricate.,11.899949,-14.872818,13.879348,23.317404,-45.03856,0.09126355,0.08209638
that,-1.6974696,-4.553249,2.1175838,28.674074,23.317461,-0.04835037,0.05331413
interactions,0.21704957,8.241831,28.595694,2.0908535,64.26297,-0.057754617,-0.013757578
(bool):,-11.911883,0.21716127,-37.81621,45.468006,-45.89796,0.124244235,0.004739075
"{""type"":",-12.435332,2.5031466,-18.445692,26.152433,-50.112125,0.15123215,-0.042384587
as,1.205073,-0.3682395,-4.6178966,-23.570105,24.90272,-0.07334895,0.0331578
`examples`,-12.1873,8.353683,-38.375015,-19.680294,-17.506792,0.2053557,-0.09479093
{db_schema},-15.933713,7.529355,-34.824673,6.357473,-59.976673,0.23304874,-0.15041025
sufficient.,13.026861,-8.557246,76.9931,-11.379029,-21.112347,0.09763904,0.17059185
query,-8.555835,-8.124289,7.689218,22.740261,-77.370674,0.01848871,0.008164062
user's,13.318355,-0.6370311,-1.5127289,-70.95271,-1.0936757,-0.057445206,-0.049909495
otherwise.,2.3542826,-14.431498,-13.970237,51.431362,42.851395,0.08732526,0.10737943
for,1.248386,-2.159053,9.238315,-11.544441,19.009096,-0.10104749,0.06594513
case-insensitive,2.681441,6.5447526,44.24883,43.80214,-29.771914,0.052232176,-0.007749251
when,-2.0275438,-7.7059317,13.651816,28.953753,48.308613,-0.08691444,0.009886705
already,5.549796,-9.061938,60.80084,48.44524,2.7817585,-0.018241592,0.08677997
structured,9.374348,-12.757006,30.217812,3.2302818,-61.139088,-0.09064603,0.004838861
shot,6.820044,4.63013,44.43049,-11.821171,51.337963,-0.120467685,0.005434349
or,-2.7314875,-2.402686,-15.835665,53.813614,0.10313255,0.05907734,0.060668577
flag,15.743143,6.22442,-39.771786,-63.694283,17.69184,-0.12844844,-0.12919691
follow,4.716428,4.41204,14.505896,-49.497658,40.804684,-0.09872694,-0.018936511
necessary,10.16363,-3.298887,55.451126,-44.86749,0.3372962,-0.1347804,0.074548714
and,-2.0257185,-2.062025,-3.0891263,47.517754,-2.9321172,0.02456662,0.10333022
are,3.105343,-0.7714203,26.215204,-7.3405232,13.109802,-0.102727614,0.09874367
needs,10.389013,-2.752663,57.49111,-53.479923,9.14594,-0.14356612,-0.007951259
part,7.734267,11.388841,41.89545,-36.50766,43.395397,-0.15651166,-0.062395804
in.,-2.421312,0.97339225,10.088212,22.860388,-16.361912,0.058507796,0.14717673
"way,",7.615319,-10.802767,58.365532,11.086323,-41.489906,0.037351195,0.058150228
natural,7.8881507,-3.897025,21.831781,-41.712826,-16.807579,-0.12511048,0.019428078
is,2.2728534,-0.067590654,27.777407,6.4454355,17.460943,-0.09245366,0.0640902
{examples},-8.378111,7.4432864,-36.206066,-2.3790367,-14.386624,0.21040554,0.01920394
`clarification_questions`,-11.211981,10.852951,-58.441547,-14.681227,-33.65883,0.22703983,-0.12644958
final,8.553749,0.49921572,39.498688,-24.62315,11.045853,-0.16005757,0.029290767
(ddl,-17.29167,1.7281984,-51.702904,40.147343,-68.296005,0.07406694,-0.06431538
must,5.797474,-3.188003,-10.376444,-0.22485873,64.757706,-0.13935098,0.0050630253
"matches,",5.054153,8.559052,49.6394,-10.77458,-51.958237,0.022550225,0.0336268
your,2.5084484,-7.86312,-10.618459,-42.445786,-8.968985,-0.061815467,-0.005935306
`db_schema`,-15.779672,8.507804,-38.880543,-8.236917,-63.732353,0.22831425,-0.24038745
indentation,-1.8159391,3.1436315,27.700218,34.983883,-8.280609,0.008799353,-0.040542953
history,-6.466168,10.166986,-13.003987,-20.30799,-24.48769,-0.06324585,-0.054704186
"examples,",-6.5555754,6.3802395,-22.272968,5.8325305,-5.3887873,0.114488415,0.061683025
language,13.9324255,5.826499,-25.57445,-54.688984,12.804434,-0.11105825,-0.107924975
guidelines,-5.748327,-0.86981386,-73.74716,23.434221,-7.708062,-0.025902571,-0.0455896
standard,-6.1496434,-4.2711816,11.474527,-37.595455,-40.85156,-0.047108486,-0.059457347
empty,9.018226,4.4505296,66.474075,-7.7406397,33.277832,-0.12662703,-0.05004526
not,0.765472,-9.558202,23.076118,-58.373444,2.0452442,-0.1292868,0.052637037
use,12.432253,0.2215797,-4.362973,-58.21012,12.452752,-0.13821466,-0.02234976
duckdb,-18.226746,2.3803666,-48.014713,25.20606,-74.251175,0.07609058,-0.1339188
1.,-8.697328,-13.311319,43.696495,34.046932,52.27524,0.02644017,0.13738744
guidelines:,-6.631584,-0.2200576,-61.090256,32.879684,-11.214951,0.13525906,0.027031867
line,14.712827,8.065338,-44.574715,-40.95013,8.584312,-0.09913835,-0.10865151
examples,-6.4104037,6.5186367,-23.982264,-5.531753,-1.3749281,0.052436337,0.040561497
2.,-9.975867,-13.349436,56.831306,23.41354,56.82192,-0.013423808,0.1521638
3.,-9.651034,-14.196679,53.225986,25.214397,42.227314,-0.037134193,0.16952
(in,-2.776665,0.28190315,1.5625381,28.214561,-4.6006265,0.07215903,0.103904665
from,0.20304468,-2.4005027,-0.13344602,-1.423715,9.886908,-0.05411081,0.020930849
spelling.,13.156319,-12.17318,23.656416,51.234646,-46.199158,0.116100036,0.09019691
objective,9.815361,-4.885171,54.41625,-28.590214,-4.605115,-0.1587611,0.023571229
explanation.,-3.8197508,6.9021587,-27.157557,40.32718,17.578136,0.16195455,0.1289723
filled,9.581275,2.7492292,56.888767,-3.553205,20.97551,-0.17268993,0.006638299
{clarification_questions},-9.869747,10.190745,-54.64332,0.10290629,-27.055265,0.22995551,-0.0074060485
context,-7.285076,15.350243,-67.27814,-14.980562,12.6403675,-0.015671413,-0.041917212
query.,-8.798862,-8.081066,12.317477,32.300648,-71.23004,0.13926865,0.10414147
##,-7.9283557,2.4973397,-17.163671,37.84822,-13.667658,0.1446919,0.013043261
q&a,-3.0165567,12.524637,-47.33083,2.246187,31.325352,0.04735658,-0.03896749
"""array"",",-12.473376,4.203766,46.51543,24.253874,-59.685402,0.056538004,-0.07138065
column,15.498695,-13.94209,-56.80982,-14.864234,54.36817,-0.081008345,-0.1280153
correct,6.008373,-6.4975004,20.559252,77.8762,1.9487739,-0.07073073,0.05623079
exactly,6.4230185,-7.712869,43.492195,49.360344,4.2898536,0.010646216,0.0511891
matches,5.417118,8.519368,49.68196,-20.521751,-59.260067,-0.09913453,-0.020113366
matching,6.1330543,8.043127,39.427628,-25.835176,-51.121418,-0.105512016,-0.009462521
readability.,13.099129,-11.428996,30.990969,40.800655,-39.80946,0.13915025,0.07916409
insufficient_context,-8.418011,14.663795,-72.979065,-18.192074,-2.5519526,0.054283667,-0.10695561
questions.,-3.0727375,11.000065,-39.68769,-4.367102,16.078949,0.11348252,0.061648842
{insufficient_context},-8.572319,13.557648,-59.974884,-9.665988,-6.2542624,0.20982303,-0.034901273
...,-11.4033985,-4.3488784,9.213663,51.144466,-22.194818,0.117482275,0.07017933
4.,-10.2559805,-14.506601,67.038704,23.579014,42.227955,-0.023222929,0.1710937
`sql_query`,-14.540017,7.5815578,-52.11396,-6.129886,-54.240128,0.24585746,-0.23096706
do,5.1126814,-0.74660975,-4.283417,-8.89416,43.936493,-0.092054054,-0.010251351
was,2.8280082,0.31113988,32.988552,3.8889315,29.702398,-0.093006656,0.08863172
should,5.882114,-3.351413,-12.177972,2.406576,76.42036,-0.124838814,0.03076826
6.,-8.893399,-15.862319,53.519527,45.95568,38.03416,-0.0077456273,0.14042221
will,4.000744,-3.3999536,0.8013761,8.349601,52.364243,-0.1110771,-0.021105085
list,13.53538,8.6731205,-31.799183,-32.659798,13.875053,-0.10600956,-0.087546095
5.,-9.738952,-15.535338,63.594395,39.408813,46.999374,-0.011269074,0.14953882
...'.,-11.258363,-3.7301297,3.586209,40.43226,-28.560581,0.13275476,0.072991304
of,-0.528649,-2.789394,5.5298896,98.76411,16.436502,-0.027084636,0.080763265
exact,6.787629,-6.657416,32.680607,-18.830051,-24.18366,-0.09278074,0.029971963
a:,-9.867618,-1.8775991,-11.572424,51.902634,-28.007435,0.09801456,0.11598634
answers,-1.4718835,9.564993,-20.405386,7.5606356,18.700306,-0.016762469,-0.011589588
(str):,-12.617237,1.0884489,-22.82309,40.99076,-43.829727,0.1330153,-0.0075701918
schema:,-11.139154,1.7787609,-53.422825,35.64259,-32.211555,0.16086227,-0.046741385
format,-7.1673884,-4.7538185,8.464824,-26.37083,-49.83868,-0.031634383,-0.095817894
contains,1.1091009,1.5443054,30.80819,5.780664,0.22289158,-0.0493547,0.072649576
constructed.,11.784178,-14.529891,13.19966,11.645706,-49.55514,0.085127585,0.13491277
resulting,6.465493,1.8399609,24.86185,-24.492983,24.301914,-0.104479045,0.058823816
available,9.818405,-7.9960904,49.789825,-5.8614826,-14.3359785,-0.07981759,0.030035242
guess,0.6690471,11.51094,-24.982117,16.21966,48.24813,-0.021775166,-0.015782787
valid,11.733066,-5.689293,47.98645,-39.904327,-27.459196,-0.13059929,-0.0032571643
string,14.721645,6.6421213,-39.229465,-56.168133,2.291237,-0.12273417,-0.18767369
return,6.0785594,-0.20081316,-5.399461,-23.124538,50.37409,-0.1344597,-0.07784506
sql_query,-16.30579,5.7923794,-61.72462,6.7687483,-57.948452,0.097717084,-0.25321117
comments),-5.412577,3.3346834,-33.958313,32.43348,-3.3141975,0.09822172,0.065754466
missing,8.398563,4.8979363,61.562893,-11.10856,45.081455,-0.07291556,0.0024319456
date,-14.26835,13.940691,-18.63707,-41.816437,-47.825874,-0.10419426,-0.18228182
db_schema,-17.408632,8.052179,-39.36954,1.553492,-76.36084,0.04701133,-0.26519924
like,0.815663,-5.5294595,13.053478,47.971306,24.828918,-0.100144885,0.059616096
'question:,-14.731181,-0.5422191,-20.31252,32.410034,-71.66434,0.14814626,-0.024269717
specific,8.142876,-5.68626,36.27053,-26.223969,-10.722247,-0.1280095,0.013293055
table,12.800298,11.92696,-19.380817,-60.12622,42.91914,-0.10825878,-0.13794321
qualify,12.830914,-4.486963,42.300236,-49.63881,-41.123447,-0.07216538,0.021294193
input,13.868444,3.3490188,17.614435,-30.668863,60.56967,-0.17047602,-0.10232347
question,-1.6607122,11.368467,-27.933008,-10.380245,30.401867,-0.060737442,-0.077431805
(especially,1.0508868,-17.544174,-44.08773,10.454082,-3.348363,0.11291938,0.09304232
interpreted,0.35545158,4.963934,18.81681,0.93677455,-26.77304,-0.050542008,0.029360235
german).,8.24098,-17.735975,-9.716231,73.82863,17.719004,0.11310142,0.10472591
sql,-17.427649,5.088691,-65.36876,21.426754,-53.4179,-0.03367854,-0.23917747
sql:,-15.231642,3.990688,-47.557373,27.095024,-49.08907,0.17682205,-0.11639281
{question},-9.777741,8.89343,-39.729515,0.08233913,-32.963367,0.21490619,-0.025515106
`insufficient_context`,-9.039539,14.142405,-62.80998,-22.84317,-10.832347,0.19608329,-0.12298062
[[,-9.0288105,3.565051,-14.893254,21.035269,-19.642342,0.13977975,0.024170341
(list):,-9.187824,0.9914011,-35.016083,40.39789,-25.417673,0.12333631,0.09472127
fields,10.9185,9.633302,-34.69354,-33.85735,47.89274,-0.081392944,-0.09895906
{date},-10.491833,6.7361283,-23.261805,2.8294644,-42.00233,0.18544723,-0.054572467
be,4.226678,-1.860041,7.0136456,-10.208619,69.303665,-0.12209347,0.025588982
schema,-19.000631,6.8539047,-71.40659,32.95268,-38.46545,-0.049199685,-0.18089584
user,13.089793,-0.15368721,-11.086463,-69.10855,7.312218,-0.15620041,-0.13121177
7.,-8.551784,-15.160033,60.164078,35.79251,30.176672,0.0034112642,0.14724319
{}},-9.735099,4.5351195,-22.694464,17.341455,-33.55921,0.16922091,0.028849538
in,-1.7467556,0.48091134,13.220166,22.543781,-1.5736158,-0.056652937,0.05958305
breaks,1.4351592,9.146803,22.842861,16.802683,74.62089,-0.054859474,-0.0001153999
into,-0.7477928,0.63141197,10.783076,8.902811,-3.8322783,-0.07809061,0.08628188
"structure,",9.228523,-12.0534725,35.539318,8.1758175,-49.99572,0.031396933,0.0061724912
